price_datetime;price;price_promo;sku_status;sku_barcode;sku_article;sku_name;sku_category;sku_country;sku_weight_min;sku_volume_min;sku_quantity_min;sku_link;sku_images
2022-11-15 19:10:19.619177;246 р;221 р;1;4607065002527;z99803;Педигри сухой корм для щенков всех пород Курица;Главная|Каталог|Товары и корма для собак|Корм сухой|Педигри сухой корм для щенков всех пород Курица;Россия;600гр;;;https://zootovary.ru/catalog/tovary-i-korma-dlya-sobak/korm-sukhoy/pedigri-sukhoy-korm-dlya-shchenkov-vsekh-porod-kuritsa.html;https://zootovary.ru/upload/resize_cache/iblock/431/500_500_1dfc9401eed6705ea741f22b962e86776/Pedigri-sukhoy-korm-dlya-shchenkov-vsekh-porod-Kuritsa-kupit-Zootovary.Ru.jpg
2022-11-15 19:10:22.999135;1 600 р;1 456 р;1;052742048871;z92858;Hills Puppy Small & Mini сухой для щенков мелких и миниатюрных пород Ягненок;Главная|Каталог|Товары и корма для собак|Корм сухой|Hills Puppy Small & Mini сухой для щенков мелких и миниатюрных пород Ягненок;Нидерланды, США;1,5кг;;;https://zootovary.ru/catalog/tovary-i-korma-dlya-sobak/korm-sukhoy/hills-puppy-small-mini-sukhoy-dlya-shchenkov-melkikh-i-miniatyurnykh-porod-yagnenok.html;https://zootovary.ru/upload/resize_cache/iblock/3b9/500_500_1dfc9401eed6705ea741f22b962e86776/Hills-Puppy-Small-_-Mini-sukhoy-dlya-shchenkov-melkikh-i-miniatyurnykh-porod-YAgnenok-kupit-Zootovary.Ru.jpg,https://zootovary.ru/upload/resize_cache/iblock/1e8/500_500_1dfc9401eed6705ea741f22b962e86776/Hills-Puppy-Small-_-Mini-sukhoy-dlya-shchenkov-melkikh-i-miniatyurnykh-porod-YAgnenok-kupit-Zootovary.Ru.jpg
2022-11-15 19:10:22.999135;366 р;329 р;1;052742048895;z92857;Hills Puppy Small & Mini сухой для щенков мелких и миниатюрных пород Ягненок;Главная|Каталог|Товары и корма для собак|Корм сухой|Hills Puppy Small & Mini сухой для щенков мелких и миниатюрных пород Ягненок;Нидерланды, США;300гр;;;https://zootovary.ru/catalog/tovary-i-korma-dlya-sobak/korm-sukhoy/hills-puppy-small-mini-sukhoy-dlya-shchenkov-melkikh-i-miniatyurnykh-porod-yagnenok.html;https://zootovary.ru/upload/resize_cache/iblock/3b9/500_500_1dfc9401eed6705ea741f22b962e86776/Hills-Puppy-Small-_-Mini-sukhoy-dlya-shchenkov-melkikh-i-miniatyurnykh-porod-YAgnenok-kupit-Zootovary.Ru.jpg,https://zootovary.ru/upload/resize_cache/iblock/1e8/500_500_1dfc9401eed6705ea741f22b962e86776/Hills-Puppy-Small-_-Mini-sukhoy-dlya-shchenkov-melkikh-i-miniatyurnykh-porod-YAgnenok-kupit-Zootovary.Ru.jpg
2022-11-15 19:10:23.867685;2 452 р;2 207 р;1;4607004708503;z87546;TASTY Petfood Корм для собак с Ягненком;Главная|Каталог|Товары и корма для собак|Корм сухой|TASTY Petfood Корм для собак с Ягненком;Poccия;15кг;;;https://zootovary.ru/catalog/tovary-i-korma-dlya-sobak/korm-sukhoy/tasty-petfood-korm-dlya-sobak-s-yagnenkom.html;https://zootovary.ru/upload/resize_cache/iblock/a52/500_500_1dfc9401eed6705ea741f22b962e86776/TASTY-Petfood-Korm-dlya-sobak-s-YAgnenkom-kupit-Zootovary.Ru.jpg,https://zootovary.ru/upload/resize_cache/iblock/a38/500_500_1dfc9401eed6705ea741f22b962e86776/TASTY-Petfood-Korm-dlya-sobak-s-YAgnenkom-kupit-Zootovary.Ru.jpg
2022-11-15 19:10:23.867685;371 р;334 р;1;4607004708602;z87545;TASTY Petfood Корм для собак с Ягненком;Главная|Каталог|Товары и корма для собак|Корм сухой|TASTY Petfood Корм для собак с Ягненком;Poccия;2,2кг;;;https://zootovary.ru/catalog/tovary-i-korma-dlya-sobak/korm-sukhoy/tasty-petfood-korm-dlya-sobak-s-yagnenkom.html;https://zootovary.ru/upload/resize_cache/iblock/a52/500_500_1dfc9401eed6705ea741f22b962e86776/TASTY-Petfood-Korm-dlya-sobak-s-YAgnenkom-kupit-Zootovary.Ru.jpg,https://zootovary.ru/upload/resize_cache/iblock/a38/500_500_1dfc9401eed6705ea741f22b962e86776/TASTY-Petfood-Korm-dlya-sobak-s-YAgnenkom-kupit-Zootovary.Ru.jpg
2022-11-15 19:10:25.872958;5 871 р;;0;4618076920304;z93602;Florida сухой для собак крупных пород Курица, яблоко;Главная|Каталог|Товары и корма для собак|Корм сухой|Florida сухой для собак крупных пород Курица, яблоко;Россия;14кг;;;https://zootovary.ru/catalog/tovary-i-korma-dlya-sobak/korm-sukhoy/florida-sukhoy-dlya-sobak-krupnykh-porod-kuritsa-yabloko.html;https://zootovary.ru/upload/resize_cache/iblock/d89/500_500_1dfc9401eed6705ea741f22b962e86776/Florida-sukhoy-dlya-sobak-krupnykh-porod-Kuritsa_-yabloko-kupit-Zootovary.Ru.jpg,https://zootovary.ru/upload/resize_cache/iblock/bab/500_500_1dfc9401eed6705ea741f22b962e86776/Florida-sukhoy-dlya-sobak-krupnykh-porod-Kuritsa_-yabloko-kupit-Zootovary.Ru.jpg,https://zootovary.ru/upload/resize_cache/iblock/96f/500_500_1dfc9401eed6705ea741f22b962e86776/Florida-sukhoy-dlya-sobak-krupnykh-porod-Kuritsa_-yabloko-kupit-Zootovary.Ru.jpg
2022-11-15 19:10:25.872958;1 383 р;;1;4603763289710;z93601;Florida сухой для собак крупных пород Курица, яблоко;Главная|Каталог|Товары и корма для собак|Корм сухой|Florida сухой для собак крупных пород Курица, яблоко;Россия;3кг;;;https://zootovary.ru/catalog/tovary-i-korma-dlya-sobak/korm-sukhoy/florida-sukhoy-dlya-sobak-krupnykh-porod-kuritsa-yabloko.html;https://zootovary.ru/upload/resize_cache/iblock/d89/500_500_1dfc9401eed6705ea741f22b962e86776/Florida-sukhoy-dlya-sobak-krupnykh-porod-Kuritsa_-yabloko-kupit-Zootovary.Ru.jpg,https://zootovary.ru/upload/resize_cache/iblock/bab/500_500_1dfc9401eed6705ea741f22b962e86776/Florida-sukhoy-dlya-sobak-krupnykh-porod-Kuritsa_-yabloko-kupit-Zootovary.Ru.jpg,https://zootovary.ru/upload/resize_cache/iblock/96f/500_500_1dfc9401eed6705ea741f22b962e86776/Florida-sukhoy-dlya-sobak-krupnykh-porod-Kuritsa_-yabloko-kupit-Zootovary.Ru.jpg
2022-11-15 19:10:25.872958;469 р;422 р;1;4603763289703;z93600;Florida сухой для собак крупных пород Курица, яблоко;Главная|Каталог|Товары и корма для собак|Корм сухой|Florida сухой для собак крупных пород Курица, яблоко;Россия;1кг;;;https://zootovary.ru/catalog/tovary-i-korma-dlya-sobak/korm-sukhoy/florida-sukhoy-dlya-sobak-krupnykh-porod-kuritsa-yabloko.html;https://zootovary.ru/upload/resize_cache/iblock/d89/500_500_1dfc9401eed6705ea741f22b962e86776/Florida-sukhoy-dlya-sobak-krupnykh-porod-Kuritsa_-yabloko-kupit-Zootovary.Ru.jpg,https://zootovary.ru/upload/resize_cache/iblock/bab/500_500_1dfc9401eed6705ea741f22b962e86776/Florida-sukhoy-dlya-sobak-krupnykh-porod-Kuritsa_-yabloko-kupit-Zootovary.Ru.jpg,https://zootovary.ru/upload/resize_cache/iblock/96f/500_500_1dfc9401eed6705ea741f22b962e86776/Florida-sukhoy-dlya-sobak-krupnykh-porod-Kuritsa_-yabloko-kupit-Zootovary.Ru.jpg
2022-11-15 19:10:27.816908;922 р;738 р;1;7613036680721;77985;PURINA ONE для щенков средних и крупных пород Курица Рис;Главная|Каталог|Товары и корма для собак|Корм сухой|PURINA ONE для щенков средних и крупных пород Курица Рис;Poccия;1,8кг;;;https://zootovary.ru/catalog/tovary-i-korma-dlya-sobak/korm-sukhoy/purina-one-dlya-shchenkov-srednikh-i-krupnykh-porod-kuritsa-ris.html;https://zootovary.ru/upload/resize_cache/iblock/e19/500_500_1dfc9401eed6705ea741f22b962e86776/PURINA-ONE-dlya-shchenkov-srednikh-i-krupnykh-porod-Kuritsa-Ris-kupit-Zootovary.Ru.png,https://zootovary.ru/upload/resize_cache/iblock/305/500_500_1dfc9401eed6705ea741f22b962e86776/PURINA-ONE-dlya-shchenkov-srednikh-i-krupnykh-porod-Kuritsa-Ris-kupit-Zootovary.Ru.jpg
2022-11-15 19:10:27.816908;470 р;376 р;1;7613036680981;75508;PURINA ONE для щенков средних и крупных пород Курица Рис;Главная|Каталог|Товары и корма для собак|Корм сухой|PURINA ONE для щенков средних и крупных пород Курица Рис;Poccия;700гр;;;https://zootovary.ru/catalog/tovary-i-korma-dlya-sobak/korm-sukhoy/purina-one-dlya-shchenkov-srednikh-i-krupnykh-porod-kuritsa-ris.html;https://zootovary.ru/upload/resize_cache/iblock/e19/500_500_1dfc9401eed6705ea741f22b962e86776/PURINA-ONE-dlya-shchenkov-srednikh-i-krupnykh-porod-Kuritsa-Ris-kupit-Zootovary.Ru.png,https://zootovary.ru/upload/resize_cache/iblock/305/500_500_1dfc9401eed6705ea741f22b962e86776/PURINA-ONE-dlya-shchenkov-srednikh-i-krupnykh-porod-Kuritsa-Ris-kupit-Zootovary.Ru.jpg
